# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
er ren 	二人	c=1 d=6.3486e-38 t=35298
er sai 	耳塞	c=1 d=4.67905e-07 t=35298
er shou 	二手	c=1 d=0.000523486 t=35298
er wei 	二位	c=1 d=3.21631e-38 t=35298
er wei 	二維	c=9 d=1.82456e-07 t=35298
er wei ma 	二維碼	c=3 d=7.27175e-33 t=35298
er wo 	而我	c=1 d=8.98765e-10 t=35298
er xing 	二星	c=1 d=0.000118571 t=35298
er yuan suan 	二元酸	c=2 d=2.57645e-06 t=35298
er yue 	二月	c=2 d=0.0944202 t=35298
er yue fen 	二月份	c=6 d=1.597e-08 t=35298
er zi 	兒子	c=1 d=0.0018734 t=35298
f q 	番羽土啬	c=2 d=1.59913e-23 t=35298
fa 	法	c=7 d=0.000150733 t=35298
fa 	發	c=62 d=0.550121 t=35298
fa bu 	發佈	c=1 d=0.00017956 t=35298
fa bu chu 	發不出	c=1 d=0.0137049 t=35298
fa bu chu qu 	發佈出去	c=1 d=8.87374e-07 t=35298
fa bu hui 	發佈會	c=1 d=3.75503e-07 t=35298
fa bu qi 	發不起	c=1 d=3.4059e-06 t=35298
fa bu zhe 	發佈者	c=1 d=4.75057e-09 t=35298
fa chu 	發出	c=1 d=0.20089 t=35298
fa da 	發達	c=1 d=4.37327e-06 t=35298
fa fang 	發放	c=11 d=0.000549045 t=35298
fa ge 	發個	c=5 d=0.0544757 t=35298
fa gei 	發給	c=1 d=2.05332e-23 t=35298
fa gei wo 	發給我	c=2 d=0.155673 t=35298
fa guo 	發過	c=1 d=2.49246e-09 t=35298
fa huang 	發黃	c=1 d=1.83912e-21 t=35298
fa huo 	發貨	c=1 d=6.57382e-07 t=35298
fa le 	發了	c=1 d=6.49271e-08 t=35298
fa lv 	法律	c=2 d=1.06274e-10 t=35298
fa mei 	發黴	c=1 d=1.50784e-08 t=35298
fa ming 	發明	c=2 d=5.9925e-06 t=35298
fa qi 	發起	c=3 d=1.33788e-05 t=35298
fa ren 	法人	c=1 d=6.64327e-13 t=35298
fa she qi 	發射器	c=1 d=2.81071e-11 t=35298
fa shen fo 	法身佛	c=1 d=1.69161e-08 t=35298
fa sheng 	發生	c=2 d=0.00438309 t=35298
fa sheng de 	發生地	c=0 d=7.22135e-25 t=35298
fa sheng de fei shi fan 	發生地非師範	c=1 d=7.25752e-24 t=35298
fa shui 	發水	c=1 d=7.47857e-14 t=35298
fa shui dian feng shan di fang 	發水電風扇地方	c=1 d=1.14867e-13 t=35298
fa shun dai fa shen fo 	發順帶法身佛	c=1 d=2.77649e-14 t=35298
fa song 	發送	c=11 d=1.67775 t=35298
fa xian 	發現	c=19 d=0.156799 t=35298
fa xiao xi 	發消息	c=1 d=1.77339e-34 t=35298
fa yan 	發言	c=1 d=0.0824965 t=35298
fan 	反	c=3 d=8.80819e-08 t=35298
fan 	幡	c=1 d=8.52434e-05 t=35298
fan 	煩	c=1 d=1.20777e-15 t=35298
fan 	翻	c=2 d=0.00219033 t=35298
fan 	飯	c=11 d=0.0596059 t=35298
fan bei 	翻倍	c=1 d=1.48924e-09 t=35298
fan che 	翻車	c=1 d=1.09057e-20 t=35298
fan dian 	飯店	c=1 d=9.08568e-20 t=35298
fan fa 	犯法	c=0 d=0.00372538 t=35298
fan guan 	飯館	c=1 d=2.92035e-20 t=35298
fan he 	飯盒	c=1 d=3.19266e-10 t=35298
fan huan 	返還	c=1 d=0.00209124 t=35298
fan hui 	返回	c=32 d=0.265176 t=35298
fan hui zhi 	返回值	c=3 d=2.20932e-05 t=35298
fan kui 	反饋	c=21 d=0.603506 t=35298
fan mang 	繁忙	c=1 d=1 t=35006
fan nao 	煩惱	c=1 d=4.94262e-34 t=35298
fan qie 	番茄	c=1 d=6.96329e-37 t=35298
fan shou 	反手	c=2 d=2.82112e-10 t=35298
fan suo 	反鎖	c=1 d=1 t=32454
fan suo 	繁瑣	c=1 d=1 t=31966
fan tong 	飯桶	c=1 d=2.92442e-07 t=35298
fan wei 	範圍	c=14 d=0.331562 t=35298
fan yi 	翻譯	c=31 d=0.00620838 t=35298
fan yi qi 	翻译器	c=1 d=5.92665e-23 t=35298
fan ying 	反映	c=1 d=4.70251e-07 t=35298
fan zheng 	反正	c=38 d=0.321613 t=35298
fang 	房	c=7 d=0.00762178 t=35298
fang 	放	c=12 d=0.000119762 t=35298
fang 	方	c=2 d=0.000780951 t=35298
fang 	訪	c=1 d=0.000911882 t=35298
fang bian 	方便	c=2 d=0.107528 t=35298
fang bian mian 	方便麪	c=3 d=1.03469e-25 t=35298
fang di chan 	房地產	c=1 d=6.03078e-22 t=35298
fang dong 	房東	c=6 d=0.0032636 t=35298
fang fa 	方法	c=50 d=1.08426 t=35298
fang fu 	彷彿	c=1 d=1.30521e-16 t=35298
fang hu 	防護	c=2 d=1.13846e-17 t=35298
fang huo qiang 	防火牆	c=6 d=0.0239128 t=35298
fang jia 	房價	c=1 d=7.02368e-21 t=35298
fang jia 	放假	c=5 d=0.000649051 t=35298
fang jian 	房間	c=8 d=0.0202425 t=35298
fang jian li 	房間裏	c=0 d=5.43332e-31 t=35298
fang ke 	訪客	c=1 d=8.83069e-38 t=35298
fang kuai 	方塊	c=1 d=6.08617e-12 t=35298
fang mian 	方面	c=1 d=8.40172e-11 t=35298
fang qi 	放棄	c=1 d=4.47622e-15 t=35298
fang sheng 	放生	c=1 d=0.0141223 t=35298
fang shi 	方式	c=12 d=0.0916297 t=35298
fang wen 	訪問	c=2 d=0.0196437 t=35298
fang xia 	放下	c=1 d=9.31886e-24 t=35298
fang xiang jian 	方向鍵	c=1 d=0.00167826 t=35298
fang xin 	放心	c=1 d=4.83223e-33 t=35298
fang yan 	方言	c=2 d=2.43863e-38 t=35298
fang zai 	放在	c=3 d=0.00543443 t=35298
fang zhe 	放着	c=1 d=1.50032e-08 t=35298
fang zi 	房子	c=16 d=0.00891518 t=35298
fang zu 	房租	c=1 d=0.0138427 t=35298
fei 	妃	c=1 d=0.970446 t=35298
fei 	廢	c=2 d=3.45797e-08 t=35298
fei 	費	c=5 d=3.78324e-06 t=35298
fei 	非	c=5 d=0.275271 t=35298
fei 	飛	c=8 d=0.0203434 t=35298
fei hua 	廢話	c=0 d=3.53204e-23 t=35298
fei ji 	飛機	c=2 d=0.00036159 t=35298
fei le 	廢了	c=1 d=2.07396e-23 t=35298
fei lv 	費率	c=4 d=2.56788e-06 t=35298
fei qi 	廢棄	c=1 d=1 t=32228
fei ren 	廢人	c=1 d=8.00693e-33 t=35298
fei shi fan 	非師範	c=0 d=7.22135e-25 t=35298
fei tian 	飛天	c=2 d=2.06726e-36 t=35298
fei ting 	飛艇	c=3 d=0.0513289 t=35298
fei wu 	廢物	c=2 d=3.72209e-21 t=35298
fei xing yuan 	飛行員	c=1 d=0.0181334 t=35298
fei yong 	費用	c=2 d=1.69772e-21 t=35298
fei zhou ren 	非洲人	c=1 d=5.88805e-05 t=35298
fei zhu 	飞猪	c=2 d=0.951229 t=35298
fen 	份	c=1 d=5.86265e-13 t=35298
fen 	分	c=13 d=0.00670434 t=35298
fen 	粉	c=1 d=2.82039e-22 t=35298
fen bian lv 	分辨率	c=2 d=4.73832e-08 t=35298
fen bie 	分別	c=2 d=2.13973e-08 t=35298
fen bu 	分佈	c=3 d=1.37019 t=35298
fen cheng 	分成	c=1 d=1.50964e-22 t=35298
fen duan fa 	分段法	c=1 d=1 t=32233
fen ge 	分割	c=3 d=0.319819 t=35298
fen hao 	分號	c=1 d=4.05301e-23 t=35298
fen hong 	分紅	c=4 d=0.0555086 t=35298
fen ji 	分級	c=1 d=4.82319e-11 t=35298
fen kai 	分開	c=2 d=0.000407691 t=35298
fen lei 	分類	c=33 d=6.42702e-06 t=35298
fen li 	分離	c=2 d=1.36435e-08 t=35298
fen ming 	分明	c=1 d=3.45855e-10 t=35298
fen pei 	分配	c=9 d=1.53495e-05 t=35298
fen san 	分散	c=2 d=5.36512e-11 t=35298
fen shou 	分手	c=5 d=0.339898 t=35298
fen shu 	份數	c=2 d=6.66203e-09 t=35298
fen si 	粉絲	c=13 d=0.000895677 t=35298
fen si da fa shi di fang 	粉絲大法師地方	c=1 d=0.000202454 t=35298
fen si di fang 	粉絲地方	c=2 d=0.0397151 t=35298
fen si di fang shi 	粉絲地方是	c=1 d=1 t=35111
fen wei 	分爲	c=2 d=7.37625e-09 t=35298
fen xi 	分析	c=7 d=0.00172635 t=35298
fen xiang 	分享	c=7 d=1.15364e-05 t=35298
fen ye 	分頁	c=22 d=0.023803 t=35298
fen zhi 	分支	c=11 d=0.00850459 t=35298
fen zhong 	分鐘	c=15 d=0.475311 t=35298
fen zu 	分組	c=2 d=1.14216e-05 t=35298
feng 	封	c=1 d=3.82751e-26 t=35298
feng 	風	c=4 d=0.00269866 t=35298
feng bao 	風暴	c=1 d=0.70822 t=35298
feng cun 	封存	c=1 d=1.74942e-21 t=35298
feng jin 	封禁	c=3 d=0.927985 t=35298
feng kong 	風控	c=1 d=0.927743 t=35298
feng kuang 	瘋狂	c=1 d=5.10995e-14 t=35298
feng mian 	封面	c=9 d=3.43354e-05 t=35298
feng xiang 	風向	c=1 d=4.56353e-07 t=35298
feng zhuang 	封裝	c=2 d=0.88692 t=35298
fo 	佛	c=2 d=5.45694e-22 t=35298
fo xi 	佛系	c=1 d=6.86915e-24 t=35298
fo zu 	佛祖	c=1 d=2.34204e-12 t=35298
fou 	否	c=15 d=3.29329e-05 t=35298
fou ze 	否則	c=4 d=0.000146841 t=35298
fu 	付	c=2 d=8.84106e-28 t=35298
fu 	富	c=1 d=4.0169e-06 t=35298
fu 	弗	c=1 d=1.94112e-09 t=35298
fu 	服	c=3 d=9.44524e-06 t=35298
fu 	父	c=9 d=0.369727 t=35298
fu 	負	c=1 d=3.21138e-20 t=35298
fu 	附	c=2 d=1.19205 t=34224
fu chi 	扶持	c=2 d=8.03766e-12 t=35298
fu chou 	復仇	c=15 d=0.0182794 t=35298
fu da dian neng 	伏打电能	c=2 d=0.000238927 t=35298
fu dan 	負擔	c=1 d=1.71245e-05 t=35298
fu ding 	福鼎	c=2 d=9.56323e-05 t=35298
fu dong 	浮動	c=1 d=0.000151489 t=35298
fu du 	幅度	c=1 d=2.5932e-34 t=35298
fu du ji 	復讀機	c=1 d=0.0578443 t=35298
fu fei 	付費	c=2 d=2.26772e-15 t=35298
fu gai 	覆蓋	c=2 d=0.00172074 t=35298
fu gong 	復工	c=1 d=8.71726e-33 t=35298
fu hao 	符號	c=5 d=0.0218184 t=35298
fu he 	符合	c=1 d=1 t=33334
fu ji 	父級	c=3 d=1.8614e-08 t=35298
fu jia 	富家	c=1 d=0.0287246 t=35298
fu jia 	附加	c=2 d=2.80195e-33 t=35298
fu jian 	福建	c=4 d=0.0162445 t=35298
fu jian 	附件	c=1 d=1 t=32662
fu jian sheng 	福建省	c=1 d=0.00216573 t=35298
fu jin 	附近	c=1 d=1 t=34527
fu lei 	父类	c=1 d=0.225373 t=35298
fu lu 	附錄	c=1 d=1 t=33824
fu mu 	父母	c=2 d=0.00182715 t=35298
fu po 	富婆	c=4 d=0.0674351 t=35298
fu qi 	夫妻	c=1 d=1 t=32465
fu shi 	腐蝕	c=3 d=0.000125275 t=35298
fu shi jing dong fang 	腐蝕京東方	c=1 d=2.7602e-33 t=35298
fu shi tou she 	腐蚀投射	c=1 d=0.000125903 t=35298
fu wen 	富文	c=0 d=1.29042e-30 t=35298
fu wen ben 	富文本	c=15 d=0.00191316 t=35298
fu wu 	服務	c=19 d=0.0161734 t=35298
fu wu duan 	服務端	c=3 d=0.000137073 t=35298
fu wu qi 	服務器	c=24 d=0.753127 t=35298
fu xian 	復現	c=1 d=2.14228e-22 t=35298
fu xie 	覆写	c=8 d=0.694548 t=35298
fu xuan 	複選	c=2 d=1.24973e-05 t=35298
fu xuan kuang 	複選框	c=1 d=2.02068e-11 t=35298
fu yong 	復用	c=2 d=1.76721 t=32374
fu yu 	富裕	c=1 d=7.71418e-36 t=35298
fu za 	複雜	c=1 d=1.00826e-38 t=35298
fu zai 	負載	c=1 d=1 t=34083
fu zai jun heng 	負載均衡	c=1 d=5.33407e-19 t=35298
fu ze 	負責	c=2 d=7.58127e-08 t=35298
fu zhi 	複製	c=33 d=1.46141 t=35298
fu zhi 	賦值	c=6 d=0.000349153 t=35298
fu zhou 	福州	c=4 d=2.00508e-08 t=35298
fu zhu 	輔助	c=2 d=9.40354e-05 t=35298
fu zhuang 	服裝	c=1 d=0.000930303 t=35298
g t 	[旺柴]	c=29 d=2.76791e-22 t=35298
gai 	改	c=45 d=0.823722 t=35298
gai 	蓋	c=6 d=0.0245136 t=35298
gai 	該	c=13 d=0.0988975 t=35298
gai ban 	改版	c=2 d=0.00802656 t=35298
gai bian 	改變	c=3 d=7.83774e-07 t=35298
gai cheng 	改成	c=2 d=9.35092e-08 t=35298
gai de 	蓋的	c=1 d=5.03728e-22 t=35298
gai dong 	改動	c=1 d=2.27831e-11 t=35298
gai ge 	改個	c=2 d=1.15982e-09 t=35298
gai hang 	改行	c=1 d=4.02101e-18 t=35298
gai hao 	改好	c=5 d=0.000148489 t=35298
gai hao 	蓋好	c=1 d=5.82331e-22 t=35298
gai kuang 	概況	c=1 d=5.3129e-31 t=35298
gai le 	改了	c=6 d=0.0451591 t=35298
gai lv 	概率	c=1 d=3.80322e-10 t=35298
gai mai 	改買	c=1 d=1.28844e-11 t=35298
gai shan 	改善	c=1 d=1.63315e-06 t=35298
gai shu 	概述	c=4 d=1.3436 t=32341
gai tian 	改天	c=1 d=2.68612e-07 t=35298
gai wei 	改爲	c=12 d=8.31527e-07 t=35298
gai xia 	改下	c=2 d=2.22902e-10 t=35298
gai yao 	概要	c=1 d=1 t=31596
gai yi xia 	改一下	c=2 d=2.75782e-07 t=35298
gai yong 	改用	c=3 d=0.000224867 t=35298
gai zhang 	蓋章	c=2 d=4.51464e-05 t=35298
gan 	幹	c=20 d=0.0850122 t=35298
gan 	敢	c=5 d=0.00759701 t=35298
gan 	杆	c=1 d=1.7299e-36 t=35298
gan 	肝	c=4 d=0.0401553 t=35298
gan 	趕	c=2 d=0.000270564 t=35298
gan cui 	乾脆	c=1 d=7.53041e-17 t=35298
gan huo 	幹活	c=5 d=5.74189e-11 t=35298
gan jin 	趕緊	c=13 d=0.00625109 t=35298
gan jue 	感覺	c=40 d=0.840177 t=35298
gan le 	乾了	c=1 d=1.72103e-05 t=35298
gan ma 	幹嘛	c=2 d=5.69601e-19 t=35298
gan qing 	感情	c=3 d=4.54154e-09 t=35298
gan sha 	幹啥	c=10 d=0.00217658 t=35298
gan tan hao 	感歎號	c=1 d=4.1743e-17 t=35298
gan xie 	感謝	c=3 d=0.000547581 t=35298
gang 	剛	c=15 d=0.0137049 t=35298
gang 	槓	c=1 d=4.79832e-09 t=35298
gang 	港	c=2 d=6.30378e-05 t=35298
gang 	鋼	c=2 d=7.91584e-13 t=35298
gang bi ye 	剛畢業	c=1 d=6.19836e-21 t=35298
gang cai 	剛纔	c=16 d=0.0685372 t=35298
gang gang 	剛剛	c=2 d=3.10896e-21 t=35298
gang jing 	杠精	c=1 d=1.08794e-21 t=35298
gang jue 	剛覺	c=2 d=1.31874e-11 t=35298
gang kai shi 	剛開始	c=1 d=4.3958e-37 t=35298
gang tie 	鋼鐵	c=1 d=1 t=35256
gang wei 	崗位	c=1 d=1.57312e-36 t=35298
gao 	搞	c=50 d=0.541077 t=35298
gao 	高	c=20 d=0.0198411 t=35298
gao bu dong 	搞不懂	c=2 d=3.63649e-12 t=35298
gao chan 	高產	c=1 d=0.00484407 t=35298
gao ci 	告辭	c=1 d=0.0290133 t=35298
gao cuo 	搞錯	c=1 d=1.80767e-24 t=35298
gao dao 	搞到	c=1 d=1.02051e-33 t=35298
gao de 	搞的	c=2 d=0.00286554 t=35298
gao de 	高德	c=0 d=5.03559e-19 t=35298
gao de 	高的	c=1 d=1.19206e-08 t=35298
gao de di tu 	高德地圖	c=1 d=5.06082e-18 t=35298
gao di 	高地	c=1 d=0.000119763 t=35298
gao ding 	搞定	c=2 d=1.81396e-06 t=35298
gao du 	高度	c=2 d=0.000277414 t=35298
gao e 	高額	c=1 d=0.00193045 t=35298
gao ge 	高歌	c=1 d=3.44962e-09 t=35298
gao guo 	搞過	c=2 d=2.8522e-07 t=35298
gao hao 	搞好	c=3 d=6.41369e-11 t=35298
gao ji 	高級	c=2 d=0.000115066 t=35298
gao le 	搞了	c=1 d=1.18874e-34 t=35298
gao lou 	高樓	c=2 d=0.217621 t=35298
gao qi 	搞起	c=1 d=8.79743e-23 t=35298
gao qing 	高清	c=1 d=1.62916e-36 t=35298
gao shi qing 	搞事情	c=1 d=7.10655e-12 t=35298
gao shou 	高手	c=1 d=7.32301e-12 t=35298
gao su 	告訴	c=3 d=1.29971e-07 t=35298
gao tong 	高通	c=1 d=7.89067e-08 t=35298
gao xiao 	搞笑	c=1 d=9.73454e-08 t=35298
gao xiao 	高校	c=1 d=2.32672e-23 t=35298
gao xing 	高興	c=1 d=0.000139842 t=35298
gao yi bo 	搞一波	c=1 d=7.54729e-14 t=35298
gao yi ge 	搞一個	c=1 d=1.2254e-09 t=35298
gao zhi 	告知	c=2 d=6.36413e-08 t=35298
gao zhong 	高中	c=4 d=0.0450492 t=35298
ge 	個	c=123 d=0.806372 t=35298
ge 	哥	c=19 d=0.0569831 t=35298
ge 	歌	c=1 d=2.07001e-30 t=35298
ge bi 	隔壁	c=5 d=0.181772 t=35298
ge ci 	歌詞	c=1 d=3.41472e-07 t=35298
ge dan 	歌單	c=1 d=2.32956e-08 t=35298
ge ge 	各個	c=2 d=8.12959e-06 t=35298
ge jia 	各家	c=1 d=0.00296761 t=35298
ge li 	隔離	c=4 d=0.000186479 t=35298
ge li ku 	隔離庫	c=4 d=0.016761 t=35298
ge lie 	割裂	c=1 d=4.91812e-05 t=35298
ge ping ben shi 	各憑本事	c=1 d=0.0372538 t=35298
ge ren 	個人	c=14 d=0.000263348 t=35298
ge san cha wu 	隔三差五	c=1 d=9.39304e-29 t=35298
ge shi 	格式	c=32 d=0.598526 t=35298
ge shi hua 	格式化	c=3 d=0.594823 t=35298
ge shou 	歌手	c=2 d=8.95347e-24 t=35298
ge tan 	歌壇	c=1 d=2.10129e-30 t=35298
ge yue 	個月	c=4 d=3.09653e-09 t=35298
ge zhong 	各種	c=4 d=0.000455097 t=35298
gei 	給	c=43 d=0.189203 t=35298
gei bu qi 	給不起	c=1 d=0.00138785 t=35298
gei ge 	給個	c=3 d=4.15998e-06 t=35298
gei huo 	給活	c=1 d=3.53323e-26 t=35298
gei le 	給了	c=1 d=3.29783e-09 t=35298
gei ni 	給你	c=22 d=0.0726117 t=35298
gei qian 	給錢	c=4 d=0.0238732 t=35298
gei ta 	給他	c=0 d=5.68535e-35 t=35298
gei wo 	給我	c=35 d=0.437395 t=35298
gei yi ge 	給一個	c=1 d=1.78726e-08 t=35298
gen 	根	c=2 d=2.03031e-08 t=35298
gen 	跟	c=2 d=6.99317e-21 t=35298
gen ben 	根本	c=1 d=4.67891e-36 t=35298
gen ju 	根據	c=23 d=0.704829 t=35298
gen wo 	跟我	c=1 d=2.90934e-05 t=35298
geng 	更	c=13 d=0.108597 t=35298
geng 	梗	c=2 d=1.31407e-16 t=35298
geng duo 	更多	c=2 d=4.7975e-07 t=35298
geng gai 	更改	c=13 d=0.436049 t=35298
geng hao 	更好	c=4 d=0.117093 t=35298
geng huan 	更換	c=3 d=3.11655e-09 t=35298
geng jia 	更加	c=1 d=7.83077e-36 t=35298
geng qiang 	更強	c=1 d=8.8355e-15 t=35298
geng ren 	更人	c=1 d=3.47529e-08 t=35298
geng shi 	更是	c=1 d=3.28138e-09 t=35298
geng wei 	更爲	c=1 d=1 t=31532
geng xin 	更新	c=284 d=3.1004 t=35298
gong 	公	c=1 d=0.0137736 t=35298
gong 	共	c=2 d=5.78517e-25 t=35298
gong 	工	c=4 d=1.19474e-05 t=35298
gong bu 	公佈	c=1 d=3.25659e-08 t=35298
gong chang 	工廠	c=1 d=1.82746e-05 t=35298
gong cheng 	工程	c=1 d=0.25924 t=35298
gong cheng shi 	工程師	c=1 d=8.12381e-27 t=35298
gong gao 	公告	c=19 d=0.198891 t=35298
gong gong 	公共	c=2 d=0.774916 t=35298
gong gzh 	共公众号	c=1 d=4.41257e-23 t=35298
gong hui 	工會	c=1 d=0.000142667 t=35298
gong ji 	攻擊	c=1 d=6.03486e-30 t=35298
gong ji 	🐓	c=2 d=2.02969e-32 t=35298
gong ji 	🐔	c=18 d=0.00343267 t=35298
gong ji jin 	公積金	c=2 d=1.97045 t=32636
gong jiao 	公交	c=2 d=0.235746 t=35298
gong jiao che 	公交車	c=4 d=0.158045 t=35298
gong jiao zhan 	公交站	c=1 d=3.54672e-12 t=35298
gong ju 	工具	c=10 d=0.00387167 t=35298
gong ju mao 	工具貓	c=1 d=5.24841e-05 t=35298
gong ju ren 	工具人	c=1 d=4.41722e-06 t=35298
gong ju xiang 	工具箱	c=1 d=2.80298e-08 t=35298
gong kai 	公開	c=1 d=1.50364e-34 t=35298
gong ling 	工齡	c=2 d=2.28064e-23 t=35298
gong lu 	公路	c=1 d=2.56216e-10 t=35298
gong neng 	功能	c=23 d=1.42302 t=35298
gong shang 	工商	c=2 d=3.29728e-07 t=35298
gong shang yin hang 	工商銀行	c=1 d=2.28927e-38 t=35298
gong she 	公社	c=8 d=0.000487282 t=35298
gong si 	公司	c=110 d=0.150163 t=35298
gong wu yuan 	公務員	c=1 d=0.0325493 t=35298
gong xi 	恭喜	c=2 d=0.000204488 t=35298
gong xian 	貢獻	c=1 d=6.8881e-27 t=35298
gong xiang 	共享	c=6 d=9.82728e-33 t=35298
gong yi 	公益	c=1 d=1 t=33295
gong yu 	公寓	c=1 d=4.46466e-14 t=35298
gong zhong 	公衆	c=0 d=1.29756e-36 t=35298
gong zhong hao 	公衆號	c=3 d=1.19444e-18 t=35298
gong zhu 	公主	c=1 d=7.33943e-09 t=35298
gong zi 	工資	c=98 d=0.0137765 t=35298
gong zuo 	工作	c=51 d=0.0212797 t=35298
gong zuo qu 	工作区	c=2 d=2.31158e-05 t=35298
gou 	夠	c=3 d=0.105928 t=35298
gou 	狗	c=3 d=0.00146632 t=35298
gou 	購	c=6 d=0.000729695 t=35298
gou 	🐶	c=4 d=0.179066 t=35298
gou cheng 	構成	c=1 d=2.84679e-14 t=35298
gou mai 	購買	c=7 d=1.81897 t=35298
gou tong 	溝通	c=3 d=4.71786e-08 t=35298
gou tou 	狗頭	c=1 d=2.07649e-08 t=35298
gou zi 	鉤子	c=1 d=0.0265162 t=35298
gu ding 	固定	c=7 d=4.03837e-07 t=35298
gu dong 	古董	c=1 d=1.47975e-22 t=35298
gu feng 	古風	c=1 d=2.03919e-30 t=35298
gu ge 	谷歌	c=3 d=0.0103585 t=35298
gu ge ban 	谷歌版	c=1 d=8.80789e-37 t=35298
gu gong 	故宮	c=1 d=3.64654e-15 t=35298
gu ji 	估計	c=49 d=1.93588 t=35298
gu jian 	固件	c=6 d=2.02034e-09 t=35298
gu lang yu 	鼓浪嶼	c=2 d=1.38163e-09 t=35298
gu lou gua wen 	孤陋寡聞	c=1 d=1.27563e-11 t=35298
gu piao 	股票	c=1 d=7.48623e-36 t=35298
gu qi 	鼓起	c=1 d=1.15125e-10 t=35298
gu suan 	估算	c=1 d=1.02316e-34 t=35298
gu ti 	固體	c=1 d=1.64558e-07 t=35298
gu zhang 	👏	c=1 d=6.37954e-07 t=35298
gua 	刮	c=0 d=0.000465414 t=35298
gua 	掛	c=4 d=2.86204e-15 t=35298
gua 	瓜	c=1 d=0.00151098 t=35298
gua ji 	掛機	c=3 d=0.00143728 t=35298
gua pi 	瓜皮	c=1 d=8.11273e-11 t=35298
gua tai feng 	刮颱風	c=2 d=0.0123126 t=35298
guai 	怪	c=9 d=0.012031 t=35298
guai guai 	怪怪	c=2 d=3.06747e-10 t=35298
guai le 	怪了	c=0 d=0.000113061 t=35298
guan 	官	c=1 d=0.0121552 t=35298
guan 	管	c=5 d=0.00037262 t=35298
guan 	關	c=4 d=0.00213357 t=35298
guan bi 	關閉	c=24 d=0.863313 t=35298
guan cai 	⚰️	c=1 d=1.94582e-08 t=35298
guan de 	管得	c=1 d=7.21005e-35 t=35298
guan fang 	官方	c=18 d=0.00221311 t=35298
guan guan 	管管	c=1 d=2.29013e-13 t=35298
guan ji 	關機	c=3 d=0.0014018 t=35298
guan jian 	關鍵	c=7 d=0.0641693 t=35298
guan jian zi 	關鍵字	c=1 d=7.19413e-09 t=35298
guan li 	管理	c=30 d=0.712537 t=35298
guan li yuan 	管理員	c=10 d=0.106992 t=35298
guan lian 	關聯	c=16 d=0.00344323 t=35298
guan lian biao 	關聯表	c=1 d=5.70998e-26 t=35298
guan shi 	管事	c=1 d=3.23023e-30 t=35298
guan ta 	管他	c=1 d=2.42835e-26 t=35298
guan wang 	官網	c=3 d=0.00582847 t=35298
guan xi 	關係	c=11 d=0.981534 t=35298
guan yin shan 	觀音山	c=2 d=1.22318e-19 t=35298
guan yu 	關於	c=2 d=2.53012e-09 t=35298
guan zhu 	關注	c=44 d=0.00434752 t=35298
guang 	光	c=7 d=0.0204453 t=35298
guang 	廣	c=1 d=1 t=34156
guang 	逛	c=1 d=1.88311e-05 t=35298
guang chang 	廣場	c=1 d=9.36079e-18 t=35298
guang dian 	廣電	c=1 d=1 t=32517
guang dian tong 	廣點通	c=22 d=1.75891 t=35284
guang gao 	廣告	c=85 d=3.20341 t=35298
guang gao zhu 	廣告主	c=5 d=1.02002 t=34337
guang gao zu 	廣告組	c=2 d=1.00001 t=34639
guang gun 	光棍	c=1 d=4.90526e-33 t=35298
guang huan 	光環	c=1 d=2.33837e-23 t=35298
guang kuo 	廣闊	c=1 d=8.0528e-12 t=35298
guang le 	光了	c=1 d=4.72527e-05 t=35298
gui 	貴	c=4 d=0.245367 t=35298
gui 	鬼	c=11 d=0.112765 t=35298
gui chu 	鬼畜	c=1 d=5.35444e-05 t=35298
gui de 	貴的	c=0 d=1.69541e-06 t=35298
gui de yi pi 	貴的一批	c=1 d=1.70391e-05 t=35298
gui ding 	規定	c=2 d=2.76839e-09 t=35298
gui dong xi 	鬼東西	c=1 d=1 t=33633
gui fan 	規範	c=2 d=2.85221e-07 t=35298
gui ji 	詭計	c=1 d=8.61001e-05 t=35298
gui ji 	軌跡	c=1 d=0.0485578 t=35298
gui mo 	規模	c=1 d=2.72672e-07 t=35298
gui ze 	規則	c=22 d=0.0563046 t=35298
gui zheng 	規整	c=1 d=1 t=32004
gui zhong 	貴重	c=1 d=6.20703e-08 t=35298
gun 	滾	c=2 d=2.06045e-05 t=35298
gun dong 	滾動	c=2 d=1.21688e-07 t=35298
gun hui qu 	滾回去	c=1 d=0.120633 t=35298
guo 	國	c=1 d=1.65924e-16 t=35298
guo 	果	c=3 d=0.551935 t=35298
guo 	過	c=28 d=2.04923 t=35298
guo 	鍋	c=3 d=0.0010701 t=35298
guo an jian 	過安檢	c=1 d=0.0780817 t=35298
guo chan 	國產	c=2 d=0.109176 t=35298
guo de 	過得	c=1 d=3.16745e-05 t=35298
guo duo 	過多	c=1 d=8.18843e-32 t=35298
guo fen 	過分	c=1 d=4.00027e-16 t=35298
guo ji 	國際	c=2 d=0.00458484 t=35298
guo ji ban 	國際版	c=1 d=9.98064e-37 t=35298
guo ji hua 	國際化	c=3 d=2.9482e-14 t=35298
guo ji tian 	過幾天	c=1 d=0.000148489 t=35298
guo jia 	國家	c=3 d=1.76064e-08 t=35298
